,OBJECTID,NOMBRE,TIPO,USO,DECLARADO,DECRETOLEY,GACETA,FECHA_PUB,INSTITUCIO,IDENTIFI,ID_DISTRITO,SHAPE
19,21,Centro Costarricense de Producción Cinematográfi,Oficinas,Cpmercial - Patrimonial,SI,23663-C,193,11/10/94, ,27,1,"{'x': 491938.79839999974, 'y': 1098837.3191999998, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
20,22,Teatro Variedades,Cine,Cultural - Patrimonial,SI,28249-C,232,30/11/99,SI,80,1,"{'x': 491635.2572999997, 'y': 1098472.0435000006, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
21,23,Castillo del Moro,Casa,Valor Patrimonial,SI,29042-C,214,08/11/00, ,22,1,"{'x': 491541.2707000002, 'y': 1099031.4834000003, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
22,24,Castillo Azul,Asamblea Legislativa,Institucional - Patrimonial,SI,6493-C,220,17/11/76,si,21,1,"{'x': 492196.5711000003, 'y': 1098383.1270000003, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
23,25,Liceo de Costa Rica,Centro Educativo,Cultural - Patrimonial,SI,13129-C,229,30/11/81,SI,64,4,"{'x': 491646.3432, 'y': 1097509.1098999996, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
24,26,Hospital San Juan De Dios,Hospital,Salud - Patrimonial,SI,23714-C,202,25/10/94, ,50,3,"{'x': 490653.43570000026, 'y': 1098462.4396000002, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
25,27,Casa San Pancracio,Comercio y Oficinas,Comercial - Patrimonial,SI,26192-C,152,08/08/97, ,19,4,"{'x': 491791.4096999997, 'y': 1098148.8742999993, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
26,28,Casa Familia Jiménez De La Guardia(Antigua),Comercio,Comercial - Patrimonial,SI,27488-C,245,17/12/98,SI,15,1,"{'x': 491654.68429999985, 'y': 1098554.3932000007, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
27,29,Arcadas Gran Hotel Costa Rica,Petaonal,Recreativo - Patrimonial,SI,4707-C,74,22/04/75,SI,5,4,"{'x': 491480.20990000013, 'y': 1098364.5570999999, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
28,30,Tienda El Siglo Nuevo,Comercial,Comercial - Patrimonial,SI,28187-C,ALC.82/209,28/10/99,SI,82,2,"{'x': 491308.01099999994, 'y': 1098508.8982999995, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
29,31,La Casona Antigua Ferreteria Macaya,Comercial,Comercial - Patrimonial,SI,28297-C,239,09/12/99,SI,61,1,"{'x': 491347.10560000036, 'y': 1098487.6053, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
30,32,BCT Baco Baruch Carvajal y Tristán,Comercial,Comercial - Patrimonial,SI,32160-MCJD,2,04/01/05,SI,10,1,"{'x': 491352.9382999996, 'y': 1098595.4280999992, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
31,33,Las Acacias,Comercial,Comercial - Patrimonial,SI,28475-C,54,16/03/00, ,62,1,"{'x': 491774.6919999998, 'y': 1098524.1443000007, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
32,34,Casa Ofelia María Coto Cubero,Casa,Patrimonial,SI,28721-C,124,28/06/00,si,18,1,"{'x': 491692.1300999997, 'y': 1098857.4243, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
33,35,Delegación Comercial República Francesa,Cultural,Cultural - Patrimonial,SI,26474-C,230,28/11/97,si,31,1,"{'x': 491711.14609999955, 'y': 1098784.082800001, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
34,36,Edificio Knöhr,Comercial,Comercial - Patrimonial,SI,28625-C,96,19/05/00,SI,33,4,"{'x': 491438.69379999954, 'y': 1098407.3084999993, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
35,37,Casa Mario González Feo,Casa,Patrimonial,SI,26551-C,5,08/01/98,si,16,1,"{'x': 491842.1644000001, 'y': 1098790.8243000004, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
36,38,Iglesia de San Cayetano,Iglesia,Religioso - Patrimonial,SI,28239-C,229,25/11/99,SI,53,4,"{'x': 491387.56539999973, 'y': 1096988.1315000001, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
37,39,Edificio Propiedad de APSE,Comercial,Comercial - Patrimonial,SI,28391-C,18,26/01/00, ,37,1,"{'x': 492153.96580000035, 'y': 1098671.0946999993, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
38,40,Banco de Costa Rica antiguo almacén Luis Ollé,Comercial,Comercial - Patrimonial,SI,33547-C,21,30/01/07, ,9,2,"{'x': 491320.30879999977, 'y': 1098659.2624999993, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
39,41,Liceo Castro Madríz, , ,SI,23314-C,137,20/07/93,SI,63,5,"{'x': 492470.0228000004, 'y': 1096719.5708000008, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
40,42,Parque Central, , ,SI,20452-C,113,17/06/91,SI,73,3,"{'x': 491276.28199999966, 'y': 1098307.6460999995, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
