,OBJECTID,ACT_COMPL,OBSERVAC_U,NIVEL_EDUC,NOMBRE_CEN,SECUND_TIP,ABREVIADO,MATRICULA_2016,PROPIETARIO,ID_DISTRITO,SHAPE
385,391, , ,UNIVERSIDAD,UNIVERSIDAD SANTO TOMÁS,ACADÉMICO,U. SANTO TOMÁS,,PRIVADO,4,"{'rings': [[[492231.4698999999, 1098291.7051999997], [492231.6162999999, 1098289.2160999998], [492241.27969999984, 1098288.7769000009], [492241.13329999987, 1098277.3564999998], [492245.9649, 1098277.2101000007], [492245.9649, 1098273.5497999992], [492252.3008000003, 1098273.8193999995], [492252.84640000015, 1098273.8425999992], [492252.84640000015, 1098283.2130999994], [492263.82749999966, 1098283.3595000003], [492263.82749999966, 1098265.9362000003], [492252.62870000023, 1098266.116800001], [492245.6721000001, 1098266.2290000003], [492245.6721000001, 1098265.2040999997], [492242.7438000003, 1098265.3505000006], [492242.89020000026, 1098256.7120999992], [492239.2298999997, 1098256.4191999994], [492239.2298999997, 1098258.4690000005], [492235.2767000003, 1098258.3225999996], [492235.2767000003, 1098259.6404], [492226.6381999999, 1098259.6404], [492226.49179999996, 1098265.0577000007], [492224.29559999984, 1098265.2040999997], [492223.4171000002, 1098273.5497999992], [492222.2457999997, 1098273.4033000004], [492221.9528999999, 1098276.4780000001], [492223.70990000013, 1098276.4780000001], [492223.8563000001, 1098286.7270999998], [492229.5664999997, 1098286.8735000007], [492229.5664999997, 1098291.5588000007], [492222.07579999976, 1098291.0977999996], [492223.1244000001, 1098303.1807000004], [492232.0555999996, 1098302.8326999992], [492232.49480000045, 1098291.7051999997], [492231.4698999999, 1098291.7051999997]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
386,392, , ,PREESCOLAR,JARDÍN INFANTIL ESTRELLITAS JUGUETONAS,ACADÉMICO,J.N. ESTRELLITAS JUGUETONAS,MATRICULA,PRIVADO,4,"{'rings': [[[492209.55510000046, 1097299.2684000004], [492206.98759999964, 1097299.5629999992], [492206.5772000002, 1097295.6641000006], [492192.4972000001, 1097297.2449999992], [492193.3803000003, 1097305.1936000008], [492198.16640000045, 1097304.8182999995], [492198.30140000023, 1097307.0461], [492210.3474000003, 1097305.7306999993], [492209.55510000046, 1097299.2684000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
387,393,REVISAR VISITA DE CAMPO,BIBLIOTECA ÁLVARO ÁVILA VARGAS,UNIVERSIDAD,UNIVERSIDAD DE LAS CIENCIAS Y EL ARTE DE COSTA RICA,ACADÉMICO,U. CIENCIAS Y ARTE,,PRIVADO,4,"{'rings': [[[492119.7385999998, 1097728.3114], [492118.74540000036, 1097729.3791000005], [492115.85539999977, 1097726.9576999992], [492116.9489000002, 1097725.6298999991], [492113.90270000044, 1097722.8960999995], [492112.1062000003, 1097724.3801000006], [492109.61980000045, 1097721.7530000005], [492107.4115000004, 1097723.9748999998], [492107.1607999997, 1097724.2271999996], [492094.4140999997, 1097724.2101000007], [492095.95359999966, 1097739.3735000007], [492096.89300000016, 1097739.8847000003], [492103.4665999999, 1097741.1948000006], [492103.4665999999, 1097737.3937], [492107.82380000036, 1097741.4667000007], [492108.3920999998, 1097740.7090000007], [492110.2249999996, 1097742.5417999998], [492113.23319999967, 1097743.1413000003], [492123.8865, 1097732.3380999994], [492119.7385999998, 1097728.3114]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
388,394, , ,PRIMARIA,ESCUELA ESPAÑA,ACADÉMICO,ESC. ESPAÑA,MATRICULA,ESTADO,4,"{'rings': [[[491834.51269999985, 1098129.8719999995], [491829.43460000027, 1098083.1064], [491839.04569999967, 1098082.4656000007], [491839.2662000004, 1098082.4508999996], [491838.34860000014, 1098074.3234], [491838.67140000034, 1098074.3076000009], [491838.21750000026, 1098073.6679999996], [491838.108, 1098072.1393], [491830.7078999998, 1098072.5393000003], [491830.35830000043, 1098067.9942000005], [491837.7932000002, 1098067.7464000005], [491837.64940000046, 1098065.7392999995], [491836.97640000004, 1098056.3458999991], [491836.9593000002, 1098056.106899999], [491823.6401000004, 1098056.9202999994], [491824.45320000034, 1098069.4732000008], [491821.0449000001, 1098069.8663999997], [491821.43819999974, 1098074.3234], [491818.6853, 1098074.5855999999], [491817.8987999996, 1098068.2934000008], [491814.88379999995, 1098068.5555000007], [491814.8729999997, 1098068.3077000007], [491806.09509999957, 1098069.1974], [491805.1496000001, 1098069.2931999993], [491806.4205, 1098082.3345999997], [491808.0672000004, 1098099.2303], [491805.8387000002, 1098099.2303], [491805.83999999985, 1098099.2535999995], [491805.96970000025, 1098101.4587999992], [491794.6188000003, 1098103.0243999995], [491794.5650000004, 1098103.0318], [491795.3515999997, 1098113.2566999998], [491789.9769000001, 1098113.5188999996], [491789.9779000003, 1098113.5518999994], [491790.2901999997, 1098123.795], [491790.5603, 1098132.6537999995], [491801.8353000004, 1098131.9401999991], [491834.51269999985, 1098129.8719999995]], [[491824.7154000001, 1098118.8936], [491801.38159999996, 1098120.4666000009], [491799.9397, 1098110.3728], [491823.7977999998, 1098108.6686000004], [491824.7154000001, 1098118.8936]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
389,395, , ,UNIVERSIDAD,UNIVERSIDAD METROPOLITANA CASTRO CARAZO,ACADÉMICO,UMCA,,PRIVADO,4,"{'rings': [[[491696.4610000001, 1098362.4942000005], [491684.15490000043, 1098364.4898000006], [491683.83800000045, 1098361.9548000004], [491678.92640000023, 1098362.9054000005], [491676.5828, 1098363.1592999995], [491674.7818999998, 1098363.3543999996], [491676.9414999997, 1098383.2608000003], [491676.58829999994, 1098383.2923000008], [491676.69099999964, 1098383.5112999994], [491682.99810000043, 1098381.9078000002], [491682.2034, 1098375.1173999999], [491697.7363, 1098372.989600001], [491696.4610000001, 1098362.4942000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
390,396, , ,TÉCNICO,INSTITUTO NACIONAL DE APRENDIZAJE,TÉCNICO,INA NÚCLEO TURISMO,,ESTADO,4,"{'rings': [[[492147.9341000002, 1097906.4762999993], [492144.63489999995, 1097901.1943999995], [492139.1102999998, 1097901.6276999991], [492139.0334999999, 1097906.8453000002], [492139.05179999955, 1097906.8673999999], [492147.9341000002, 1097906.4762999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
391,397, , ,PRIMARIA,COLEGIO SAGRADO CORAZÓN,ACADÉMICO,COL. SAGRADO CORAZÓN,MATRICULA,PRIVADO,4,"{'rings': [[[492694.5761000002, 1098055.169399999], [492700.62990000006, 1098055.3835000005], [492702.49700000044, 1098034.0449], [492692.49260000046, 1098033.418299999], [492692.3211000003, 1098037.9354999997], [492690.0811999999, 1098037.7754999995], [492688.4812000003, 1098054.5747999996], [492694.5761000002, 1098055.169399999]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
392,398, , ,SECUNDARIA,COLEGIO SAGRADO CORAZÓN,ACADÉMICO,COL. SAGRADO CORAZÓN,MATRICULA,PRIVADO,4,"{'rings': [[[492684.48139999993, 1098081.2935000006], [492696.32019999996, 1098087.1851000004], [492696.5033, 1098086.8238999993], [492704.64049999975, 1098069.4540999997], [492705.7604, 1098064.4943000004], [492706.05590000004, 1098064.5247000009], [492705.7604, 1098064.0143], [492700.00069999974, 1098062.5744000003], [492700.62990000006, 1098055.3835000005], [492694.5761000002, 1098055.169399999], [492695.0409000004, 1098055.2147000004], [492693.44099999964, 1098061.294399999], [492692.0011, 1098061.1345000006], [492692.0011, 1098060.1744999997], [492689.2812000001, 1098059.5344999991], [492687.20129999984, 1098066.2542000003], [492690.24120000005, 1098067.0541999992], [492690.5610999996, 1098066.0942000002], [492691.84109999985, 1098066.4142000005], [492684.48139999993, 1098081.2935000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
393,399, , ,SECUNDARIA,COLEGIO SAGRADO CORAZÓN,ACADÉMICO,COL. SAGRADO CORAZÓN,MATRICULA,PRIVADO,4,"{'rings': [[[492754.54640000034, 1098130.8379999995], [492755.0603, 1098128.5447000004], [492759.0321000004, 1098110.8186000008], [492759.0948999999, 1098110.5383000001], [492757.92590000015, 1098109.8564], [492757.9179999996, 1098109.9321999997], [492746.5585000003, 1098103.3725000005], [492744.3185999999, 1098107.6922999993], [492744.3063000003, 1098107.6864999998], [492723.51960000023, 1098097.9327000007], [492722.39969999995, 1098099.8526000008], [492715.83999999985, 1098096.8127999995], [492716.95990000013, 1098094.8928999994], [492706.0804000003, 1098089.7730999999], [492705.28050000034, 1098091.5329999998], [492696.3208999997, 1098087.2131999992], [492696.5033, 1098086.8238999993], [492696.32019999996, 1098087.1851000004], [492684.48139999993, 1098081.2935000006], [492681.28160000034, 1098079.6936000008], [492676.2115000002, 1098090.1234000009], [492677.12310000043, 1098090.6021999996], [492674.8320000004, 1098095.3836000003], [492676.4726999998, 1098096.1410000008], [492690.4770999998, 1098102.6060000006], [492692.6747000003, 1098098.7719999999], [492711.6891000001, 1098108.7609], [492710.73060000036, 1098111.9558000006], [492717.14080000017, 1098114.914999999], [492718.7181000002, 1098112.4883999992], [492718.90390000027, 1098112.5710000005], [492719.8099999996, 1098112.9737], [492720.0526999999, 1098112.2456999999], [492724.7503000004, 1098114.4164000005], [492737.6453999998, 1098120.3748000003], [492737.6151999999, 1098120.4617999997], [492736.67480000015, 1098123.1654000003], [492746.2598000001, 1098127.7759000007], [492745.0465000002, 1098130.3237999994], [492745.08579999954, 1098130.4809000008], [492745.1059999997, 1098130.4376999997], [492753.6074999999, 1098135.0284000002], [492754.54640000034, 1098130.8379999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
394,400, , ,PRIMARIA,ESCUELA RICARDO JIMÉNEZ OREAMUNO,ACADÉMICO,ESC. RICARDO JIMÉNEZ O.,MATRICULA,ESTADO,4,"{'rings': [[[491412.17449999973, 1097362.3089000005], [491435.16669999994, 1097362.8684], [491435.2739000004, 1097341.5406], [491429.76400000043, 1097341.5406], [491429.76400000043, 1097338.9976000004], [491417.89639999997, 1097340.0571999997], [491418.95600000024, 1097337.5141000003], [491403.9095999999, 1097337.7259999998], [491403.9095999999, 1097344.5075000003], [491407.5122999996, 1097344.2956000008], [491407.5122999996, 1097362.5208], [491412.17449999973, 1097362.3089000005]], [[491414.9294999996, 1097348.110200001], [491424.2539999997, 1097347.6863000002], [491424.8898, 1097358.4943000004], [491414.9294999996, 1097358.4943000004], [491414.9294999996, 1097348.110200001]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
395,401, , ,PREESCOLAR,CENTRO EDUCATIVO EL ALFARERO,ACADÉMICO,CENTR. EDUC. EL ALFARERO,,PRIVADO,4,"{'rings': [[[491759.9550999999, 1097263.3301], [491754.02579999994, 1097263.7730999999], [491755.60539999977, 1097286.2405999992], [491757.54420000035, 1097286.0439999998], [491757.0981999999, 1097280.3101000004], [491760.7736999998, 1097279.7931999993], [491759.9550999999, 1097263.3301]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
396,402, , ,PREESCOLAR,JARDÍN INFANTIL ARTURO URIEN GALLOSO,ACADÉMICO,J.N. ARTURO URIEN G.,MATRICULA,ESTADO,4,"{'rings': [[[491394.0691999998, 1097807.0133999996], [491392.6172000002, 1097790.3742999993], [491412.4502999997, 1097788.4140000008], [491412.16530000046, 1097786.2490999997], [491412.1639999999, 1097786.2251999993], [491412.0932, 1097782.0283000004], [491387.00629999954, 1097784.3089000005], [491383.8512000004, 1097787.9605], [491385.3521999996, 1097807.4163000006], [491394.0691999998, 1097807.0133999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
397,403, , ,PRIMARIA,ESCUELA MARCELINO GARCÍA FLAMENCO,ACADÉMICO,ESC. MARCELINO GARCÍA F.,MATRICULA,ESTADO,4,"{'rings': [[[491391.9325000001, 1097859.8015], [491415.6568, 1097857.4514000006], [491415.66860000044, 1097857.5333999991], [491415.7687999997, 1097857.4514000006], [491416.6639999999, 1097857.3395000007], [491416.44020000007, 1097855.1012999993], [491416.9996999996, 1097855.1012999993], [491415.96439999994, 1097843.0504], [491400.7730999999, 1097844.3582000006], [491400.7494000001, 1097844.0877999999], [491398.9826999996, 1097823.9916999992], [491399.1917000003, 1097823.9765000008], [491414.23610000033, 1097822.9330000002], [491414.20210000034, 1097822.5362999998], [491414.0772000002, 1097820.0221999995], [491413.73149999976, 1097813.057], [491413.4367000004, 1097807.1202000007], [491413.4187000003, 1097806.7573000006], [491412.9402999999, 1097805.9878000002], [491394.0691999998, 1097807.0133999996], [491385.3521999996, 1097807.4163000006], [491385.35759999976, 1097807.4868], [491386.7023, 1097824.9159999993], [491386.87789999973, 1097827.1914000008], [491390.36569999997, 1097827.012599999], [491390.70150000043, 1097831.3769000005], [491387.2304999996, 1097831.762599999], [491388.2620000001, 1097845.1322000008], [491389.1348000001, 1097856.4441999998], [491391.70859999955, 1097856.1085], [491391.9325000001, 1097859.8015]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
398,404, , ,UNIDAD PEDAGÓGICA,THE WASHINGTON SCHOOL,ACADÉMICO,THE WASHINGTON SCHOOL,,PRIVADO,4,"{'rings': [[[492761.8548999997, 1097791.5086000003], [492752.2045999998, 1097780.0890999995], [492750.7215, 1097781.6864], [492747.9439000003, 1097783.9430999998], [492757.6655000001, 1097795.0535000004], [492761.8548999997, 1097791.5086000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
399,405, , ,UNIVERSIDAD,UNIVERSIDAD SANTA LUCIA,ACADÉMICO,UNIVERSIDAD SANTA LUCIA,,PRIVADO,1,"{'rings': [[[491671.5661000004, 1098492.1045999993], [491670.7679000003, 1098487.4455999993], [491668.83110000007, 1098476.1406999994], [491663.16199999955, 1098477.4208000004], [491662.66339999996, 1098474.9277], [491654.52410000004, 1098476.4669000003], [491654.94930000044, 1098478.5077999998], [491652.05069999956, 1098478.9909000006], [491651.63430000003, 1098477.0133999996], [491646.3613, 1098478.0105000008], [491645.8831000002, 1098478.1011999995], [491648.2139999997, 1098494.6588000003], [491651.267, 1098493.091], [491653.3646999998, 1098505.894200001], [491673.4232999999, 1098502.9450000003], [491673.4216, 1098502.9352000002], [491672.1135999998, 1098495.3005], [491671.5661000004, 1098492.1045999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
400,406, , ,PRIMARIA,ESCUELA PORFIRIO BRENES,ACADÉMICO,ESC. PORFIRIO BRENES,,ESTADO,3,"{'rings': [[[491128.5652999999, 1097945.9285000004], [491133.69859999977, 1097945.6199999992], [491145.4127000002, 1097944.9158999994], [491151.02139999997, 1097944.5787000004], [491151.0575000001, 1097944.9429000001], [491159.9221999999, 1097944.6805000007], [491159.92310000025, 1097944.0436000004], [491159.92310000025, 1097944.0313000008], [491159.9293999998, 1097939.4719999991], [491159.87399999984, 1097938.7964999992], [491159.4193000002, 1097933.2451000009], [491159.38150000013, 1097932.7836000007], [491158.9201999996, 1097927.1531000007], [491156.3920999998, 1097896.2906], [491156.31159999967, 1097895.2588999998], [491095.3108000001, 1097900.6136000007], [491099.9757000003, 1097946.3096999992], [491114.71520000044, 1097944.9495], [491114.9287999999, 1097946.7482999992], [491121.3811999997, 1097946.3604000006], [491128.5652999999, 1097945.9285000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
401,407, , ,UNIDAD PEDAGÓGICA,CENTRO EDUCATIVO EL CARMELO,ACADÉMICO,CENTR. EDUC. EL CARMELO,MATRICULA,PRIVADO,3,"{'rings': [[[490195.2065000003, 1097194.2646999992], [490205.14719999954, 1097190.7028], [490188.5706000002, 1097142.7917999998], [490157.4341000002, 1097153.5646000002], [490156.2474999996, 1097154.8148999996], [490156.03920000046, 1097157.9898000006], [490174.2851, 1097198.9484], [490174.92179999966, 1097200.6938000005], [490176.8267999999, 1097200.8505000006], [490187.8381000003, 1097196.9049999993], [490195.2065000003, 1097194.2646999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
402,408, , ,PREESCOLAR,JARDÍN INFANTIL LA CAMPANITA,ACADÉMICO,J.N. LA CAMPANITA,MATRICULA,PRIVADO,7,"{'rings': [[[488781.3975999998, 1100658.9057], [488781.1786000002, 1100655.4881999996], [488780.8903000001, 1100650.9891], [488774.06379999965, 1100651.5877], [488772.8948999997, 1100651.8697999995], [488771.9506999999, 1100652.6703999992], [488770.86199999973, 1100654.2708], [488770.71829999983, 1100655.8702000007], [488773.2034999998, 1100669.0252999999], [488781.9988000002, 1100668.2892000005], [488781.6207999997, 1100662.3899000008], [488781.3975999998, 1100658.9057]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
403,409, , ,SECUNDARIA,SAINT GEORGE HIGH SCHOOL,ACADÉMICO,SAINT GEORGE HIGH SCHOOL,MATRICULA,PRIVADO,8,"{'rings': [[[489202.81429999974, 1098087.8363000005], [489203.4155000001, 1098092.9461000003], [489234.7106999997, 1098088.9625000004], [489234.2709999997, 1098084.9206000008], [489233.0563000003, 1098074.5911999997], [489201.6679999996, 1098078.0943], [489202.2977, 1098083.4459000006], [489202.81429999974, 1098087.8363000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
404,410, , ,PRIMARIA,ESCUELA CIUDADELA MARÍA REINA DE PAVAS,ACADÉMICO,ESC. CIUDADELA PAVAS,MATRICULA,PRIVADO,9,"{'rings': [[[484573.3351999996, 1100144.7539000008], [484573.59979999997, 1100160.8935000002], [484581.53729999997, 1100160.0997000001], [484590.5332000004, 1100160.0997000001], [484590.0039999997, 1100145.0184000004], [484581.2726999996, 1100142.6371999998], [484573.3351999996, 1100144.7539000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
405,411, , ,PRIMARIA,ESCUELA CIUDADELA MARÍA REINA DE PAVAS,ACADÉMICO,ESC. CIUDADELA PAVAS,MATRICULA,PRIVADO,9,"{'rings': [[[484639.9221999999, 1100155.0725999996], [484638.8638000004, 1100147.6643000003], [484638.8468000004, 1100142.0798000004], [484644.94930000044, 1100142.107999999], [484644.6847000001, 1100126.4976000004], [484637.6412000004, 1100126.6273999996], [484637.0971999997, 1100120.772500001], [484643.0971999997, 1100120.6766999997], [484645.7429999998, 1100116.4433999993], [484643.8909, 1100112.210000001], [484642.0388000002, 1100108.5058999993], [484592.8262, 1100109.2995999996], [484592.2971000001, 1100115.3850999996], [484592.56159999967, 1100120.9412999991], [484593.35539999977, 1100121.4704999998], [484596.0971999997, 1100121.4266999997], [484595.8267999999, 1100127.3981999997], [484587.26999999955, 1100127.5559], [484587.7991000004, 1100141.8433999997], [484592.9155000001, 1100141.8671000004], [484593.4435999999, 1100151.3684999999], [484596.87289999984, 1100151.6548999995], [484597.3241999997, 1100155.8663999997], [484596.7949999999, 1100161.6872000005], [484639.65759999957, 1100160.8935000002], [484639.9221999999, 1100155.0725999996]], [[484598.53280000016, 1100148.420499999], [484598.3662999999, 1100141.8924000002], [484634.2408999996, 1100142.0584999993], [484634.4127000002, 1100147.7477000002], [484598.53280000016, 1100148.420499999]], [[484599.7796, 1100127.3253000006], [484599.5148, 1100121.3721999992], [484633.63740000036, 1100120.8277000003], [484633.6542999996, 1100126.7008999996], [484599.7796, 1100127.3253000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
406,412, , ,PRIMARIA,ESCUELA RINCÓN GRANDE DE PAVAS,ACADÉMICO,ESC. RINCÓN GRANDE,MATRICULA,ESTADO,9,"{'rings': [[[483204.6468000002, 1100854.3092999998], [483203.32380000036, 1100848.0253999997], [483182.48790000007, 1100854.9707999993], [483184.1414999999, 1100861.2545999996], [483122.2949999999, 1100880.4370000008], [483125.6023000004, 1100894.6583999991], [483209.6076999996, 1100865.8849], [483206.30040000007, 1100854.6400000006], [483204.6468000002, 1100854.3092999998]], [[483203.32380000036, 1100844.0567000005], [483199.3551000003, 1100829.173800001], [483117.9956, 1100856.2937000003], [483122.2949999999, 1100869.853599999], [483150.73780000024, 1100860.2624999993], [483203.32380000036, 1100844.0567000005]], [[483163.3054999998, 1100831.489], [483158.3446000004, 1100817.5983000007], [483113.3652999997, 1100831.489], [483116.0111999996, 1100846.7025000006], [483163.3054999998, 1100831.489]], [[483245.6573000001, 1100847.364], [483242.6807000004, 1100833.4733000007], [483207.6233000001, 1100844.7182], [483211.9227999998, 1100857.6165999994], [483245.6573000001, 1100847.364]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
407,413, , ,PREESCOLAR,JARDÍN INFANTIL FINCA LA CAJA,ACADÉMICO,J.N. FINCA DE LA CAJA,MATRICULA,ESTADO,7,"{'rings': [[[483278.16949999984, 1101805.1424000002], [483301.25289999973, 1101800.1410000008], [483303.358, 1101800.0219], [483293.89350000024, 1101750.8402999993], [483263.9042999996, 1101758.2455000002], [483278.16949999984, 1101805.1424000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
408,414, , ,PRIMARIA,ESCUELA FINCA LA CAJA,ACADÉMICO,ESC. FINCA LA CAJA,MATRICULA,ESTADO,7,"{'rings': [[[483278.4508999996, 1101805.0848999992], [483263.9042999996, 1101758.2455000002], [483250.53359999973, 1101761.0868999995], [483251.5434999997, 1101770.8347999994], [483253.7094999999, 1101780.5503000002], [483256.27880000044, 1101789.3594000004], [483259.4612999996, 1101799.6548999995], [483262.4288999997, 1101815.4108000007], [483268.9874999998, 1101839.8253000006], [483267.0075000003, 1101841.8388999999], [483273.0399000002, 1101860.865700001], [483308.64389999956, 1101843.9716999996], [483307.5421000002, 1101833.5683999993], [483302.4036999997, 1101819.4745000005], [483295.50349999964, 1101801.6369000003], [483278.4508999996, 1101805.0848999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
409,415, , ,PREESCOLAR,JARDÍN INFANTIL MARGARITA ESQUIVEL,ACADÉMICO,J.N. MARGARITA ESQUIVEL,MATRICULA,ESTADO,2,"{'rings': [[[490698.18649999984, 1099191.9573], [490697.5197999999, 1099184.5439999998], [490697.0465000002, 1099179.7234000005], [490695.03670000006, 1099179.8370999992], [490694.54339999985, 1099173.7940999996], [490670.3315000003, 1099176.1294], [490671.8942999998, 1099192.1767999995], [490675.7440999998, 1099191.7193999998], [490675.2740000002, 1099187.6407999992], [490689.51630000025, 1099186.3073999994], [490690.16330000013, 1099192.6257000007], [490698.18649999984, 1099191.9573]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
410,416, , ,PREESCOLAR,JARDÍN INFANTIL MATERNAL MONTESORIANO,ACADÉMICO,J.N. MONTESORIANO,MATRICULA,ESTADO,1,"{'rings': [[[491878.42650000006, 1098702.6064999998], [491872.0257000001, 1098702.886], [491858.3800999997, 1098703.6380000003], [491859.6255999999, 1098710.0252999999], [491861.1024000002, 1098717.6126000006], [491866.57739999983, 1098716.7041999996], [491865.12009999994, 1098709.0668000001], [491868.8635999998, 1098708.8531999998], [491869.5876000002, 1098712.7118999995], [491871.2122999998, 1098712.5601000004], [491871.3360000001, 1098713.8847000003], [491869.6919, 1098714.3090000004], [491870.8738000002, 1098720.2109999992], [491873.2368000001, 1098719.7601999994], [491878.77020000014, 1098718.6815000009], [491879.36980000045, 1098717.4221], [491878.61199999973, 1098705.4858], [491878.42650000006, 1098702.6064999998]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
411,417, , ,PREESCOLAR,JARDÍN INFANTIL NIÑO JESÚS DE PRAGA,ACADÉMICO,J.N. NIÑO JESÚS DE PRAGA,MATRICULA,PRIVADO,3,"{'rings': [[[490131.68989999965, 1097427.4860999994], [490133.22449999955, 1097426.7661000006], [490135.58889999986, 1097425.6568999998], [490141.43290000036, 1097432.4307000004], [490144.9994999999, 1097439.1700999998], [490145.4985999996, 1097438.9575999994], [490146.22360000014, 1097440.6605999991], [490146.4254999999, 1097441.1348], [490143.5011999998, 1097442.8168000001], [490146.27440000046, 1097447.6381], [490153.42090000026, 1097443.9987000003], [490150.6831, 1097438.6226000004], [490150.22020000033, 1097437.7138], [490138.9556, 1097414.6950000003], [490136.4247000003, 1097415.3571000006], [490134.9922000002, 1097412.6086999997], [490130.7904000003, 1097404.1519000009], [490129.34559999965, 1097401.2621999998], [490129.0206000004, 1097400.6122999992], [490122.02880000044, 1097403.8914], [490122.3766000001, 1097404.6618000008], [490122.53729999997, 1097405.0176], [490118.07210000046, 1097407.0332999993], [490128.45799999963, 1097429.0022999998], [490130.8224999998, 1097427.8929999992], [490131.68989999965, 1097427.4860999994]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
412,418, , ,PREESCOLAR,KÍNDER Y GUARDERÍA LITTLE FISH,ACADÉMICO,KÍNDER LITTLE FISH,,PRIVADO,9,"{'rings': [[[486247.16729999986, 1100502.6125000007], [486244.0784999998, 1100500.2847000007], [486240.1897, 1100497.3539000005], [486232.8805999998, 1100506.8150999993], [486251.53029999975, 1100520.8774999995], [486258.7770999996, 1100511.3621999994], [486250.5471000001, 1100505.1597000007], [486247.16729999986, 1100502.6125000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
413,419, , ,UNIVERSIDAD,FUNDA TEC,TÉCNICO,FUNDATEC,,ESTADO,5,"{'rings': [[[493663.80150000006, 1097024.7740000002], [493660.2309999997, 1097025.6336000003], [493653.56350000016, 1097026.1097999997], [493646.7372000003, 1097036.1110999994], [493647.6897, 1097039.2861000001], [493657.69099999964, 1097045.0011], [493659.7547000004, 1097045.0011], [493662.29470000044, 1097041.3498999998], [493679.9160000002, 1097037.2224000003], [493684.2023, 1097039.9211], [493687.3772999998, 1097039.7623999994], [493693.88599999994, 1097029.6022999994], [493693.7273000004, 1097027.2211000007], [493682.9386, 1097020.1668999996], [493666.0038999999, 1097024.2437999994], [493663.80150000006, 1097024.7740000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
414,420, , ,PREESCOLAR,CENTRO INTEGRAL LOS OLIVOS,ACADÉMICO,CENTR. INTEGRAL LOS OLIVOS,,PRIVADO,8,"{'rings': [[[492718.1808000002, 1097118.6743], [492715.9352000002, 1097130.269200001], [492716.7806000002, 1097130.4110000003], [492728.0767999999, 1097132.2594000008], [492733.10809999984, 1097109.4411999993], [492747.7818999998, 1097114], [492742.7812000001, 1097092.1282000002], [492730.7082000002, 1097091.3480999991], [492723.8819000004, 1097089.2370999996], [492720.8655000003, 1097104.8121000007], [492720.0050999997, 1097109.2546999995], [492718.1808000002, 1097118.6743]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
415,421, , ,TÉCNICO,INSTITUTO NACIONAL DE APRENDIZAJE,TÉCNICO,INA,,ESTADO,2,"{'rings': [[[489844.9779000003, 1098639.8626000006], [489845.44159999955, 1098646.5823999997], [489863.0186999999, 1098645.0951000005], [489863.20189999975, 1098641.8494000006], [489862.9780000001, 1098638.0760999992], [489862.9452999998, 1098638.0808000006], [489862.77579999994, 1098635.591], [489862.7642999999, 1098635.4412999991], [489861.8315000003, 1098623.5349000003], [489860.8825000003, 1098611.4187000003], [489858.0058000004, 1098611.7137000002], [489857.57830000017, 1098607.5127000008], [489844.2895999998, 1098608.8709999993], [489845.31680000015, 1098618.9213999994], [489846.84339999966, 1098618.7650000006], [489847.4464999996, 1098624.7230999991], [489843.9534, 1098625.0143], [489844.9779000003, 1098639.8626000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
