,OBJECTID,CATEGORIA,NOMBRE,ABREVIADO,SUBCATEGORIA,PROPIETARIO,ID_DISTRITO,SHAPE
34,38,SEGURIDAD,FUERZA PÚBLICA - CUARTEL GENERAL DE LA UIP,POLICÍA UIP,POLICÍA,ESTADO,11,"{'rings': [[[490590.8287000004, 1096484.2278000005], [490585.6057000002, 1096482.1319999993], [490585.2095999997, 1096482.8466999996], [490580.2728000004, 1096480.7151999995], [490577.5076000001, 1096479.521400001], [490577.78589999955, 1096478.9469000008], [490565.04110000003, 1096473.8200000003], [490562.76329999976, 1096473.4806999993], [490561.8658999996, 1096473.3471000008], [490560.5714999996, 1096473.3367999997], [490559.95469999965, 1096473.3319000006], [490556.7399000004, 1096482.0428], [490567.7728000004, 1096486.0845999997], [490570.28529999964, 1096480.1857999992], [490573.2346000001, 1096481.8244000003], [490572.68850000016, 1096483.0260000005], [490578.9149000002, 1096485.9752999991], [490574.3269999996, 1096498.2097999994], [490607.42569999956, 1096510.1711999997], [490611.79509999976, 1096498.3737000003], [490588.6370000001, 1096489.8531999998], [490590.8287000004, 1096484.2278000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
35,39,SEGURIDAD,FUERZA PÚBLICA - CUARTEL GENERAL DE LA UIP,POLICÍA UIP,POLICÍA,ESTADO,11,"{'rings': [[[490589.2980000004, 1096521.2596000005], [490593.9195999997, 1096522.9097000007], [490594.5356999999, 1096520.8763999995], [490602.83770000003, 1096523.4980999995], [490607.42569999956, 1096511.9189999998], [490573.56230000034, 1096499.6844999995], [490569.19290000014, 1096511.5912999995], [490589.9478000002, 1096519.2378000002], [490589.2980000004, 1096521.2596000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
36,40,SEGURIDAD,FUERZA PÚBLICA - CUARTEL GENERAL DE LA UIP,POLICÍA UIP,POLICÍA,ESTADO,11,"{'rings': [[[490515.5240000002, 1096499.1272999998], [490550.85610000044, 1096502.5283000004], [490553.7846999997, 1096476.548800001], [490517.69689999986, 1096473.5258000009], [490515.5240000002, 1096499.1272999998]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
37,41,SEGURIDAD,FUERZA PÚBLICA - DELEGACIÓN LA PEREGRINA - URUCA,POLICÍA,POLICÍA,ESTADO,7,"{'rings': [[[488899.6615000004, 1101017.5024999995], [488897.14180000033, 1101023.0845999997], [488908.7187000001, 1101028.8073999994], [488911.48510000017, 1101022.8445999995], [488899.6615000004, 1101017.5024999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
38,42,SEGURIDAD,FUERZA PÚBLICA - DELEGACIÓN COLONIA QUINCE DE SEPTIEMBRE - SAN SEBASTIÁN,POLICÍA,POLICÍA,ESTADO,11,"{'rings': [[[489691.21410000045, 1095538.8237999994], [489688.62289999984, 1095527.3167000003], [489675.0904000001, 1095531.1469], [489678.1835000003, 1095542.4218000006], [489691.21410000045, 1095538.8237999994]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
39,43,SEGURIDAD,FUERZA PÚBLICA - DELEGACIÓN METRÓPOLIS - PAVAS,POLICÍA,POLICÍA,ESTADO,9,"{'rings': [[[483062.93120000046, 1100870.1739000008], [483056.19930000044, 1100855.2094], [483044.9759999998, 1100860.2608000003], [483051.7078999998, 1100875.2252999991], [483062.93120000046, 1100870.1739000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
40,44,SEGURIDAD,FUERZA PÚBLICA - DELEGACIÓN PAVAS,POLICÍA,POLICÍA,ESTADO,9,"{'rings': [[[486019.51609999966, 1099171.3109000009], [485984.0059000002, 1099169.3458999991], [485982.8872999996, 1099197.5063000005], [485983.6281000003, 1099197.5405000001], [485983.3403000003, 1099205.0007000007], [485982.5547000002, 1099204.9671], [485982.2701000003, 1099211.3549000006], [485993.86010000017, 1099211.6863000002], [485994.2751000002, 1099205.5618999992], [486003.0736999996, 1099205.9633000009], [486003.0937000001, 1099204.7128999997], [486008.4952999996, 1099204.9129000008], [486012.0263, 1099205.0530999992], [486018.3482999997, 1099205.2830999997], [486019.51609999966, 1099171.3109000009]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
41,45,SEGURIDAD,FUERZA PÚBLICA - DELEGACIÓN CARMEN,POLICÍA,POLICÍA,ESTADO,1,"{'rings': [[[492223.80989999976, 1098985.3554999996], [492227.59229999967, 1098983.4642999992], [492231.47979999986, 1098981.1527999993], [492232.74060000014, 1098984.4099000003], [492235.47229999956, 1098983.2542000003], [492238.8344999999, 1098989.4530999996], [492247.4500000002, 1098985.6707000006], [492248.3956000004, 1098987.9822000004], [492252.4932000004, 1098985.9858999997], [492251.54760000017, 1098983.8846000005], [492250.07660000026, 1098984.4099000003], [492245.4537000004, 1098973.5879999995], [492248.3956000004, 1098972.4322999995], [492245.9790000003, 1098966.6535999998], [492243.87770000007, 1098967.7042999994], [492238.20409999974, 1098969.8056000005], [492230.6392999999, 1098973.4828999992], [492220.55289999954, 1098977.5804999992], [492223.80989999976, 1098985.3554999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
42,46,SEGURIDAD,FUERZA PÚBLICA - DELEGACIÓN URUCA-MATA REDONDA,POLICÍA,POLICÍA,ESTADO,7,"{'rings': [[[487681.7439000001, 1100074.7292], [487676.17810000014, 1100082.8182999995], [487691.0889999997, 1100093.3288000003], [487693.8761, 1100088.9694999997], [487692.8838999998, 1100088.3081], [487694.63680000044, 1100085.5298999995], [487688.6860999996, 1100081.3441000003], [487689.43479999993, 1100080.0572999995], [487681.7439000001, 1100074.7292]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
43,47,SEGURIDAD,FUERZA PÚBLICA - DELEGACIÓN ZAPOTE,POLICÍA,POLICÍA,ESTADO,5,"{'rings': [[[494063.9768000003, 1096898.4324999992], [494053.91889999993, 1096899.7295999993], [494054.5281999996, 1096908.0987999998], [494064.7899000002, 1096906.9251000006], [494063.9768000003, 1096898.4324999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
